sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,42231185,AUDJPY,0.16,Sell,88.306,94.699,2013/08/22 08:27:55,1970/01/01 00:00:00,2013/08/22,1970/01/01,-948.68,-692.65,0,-1641.33,0,0,-639.3,Loss,0,0,,5402686025
Deposit,40596325,,0,,0,0,2013/07/11 07:53:00,2013/07/11 07:53:00,2013/07/11,2013/07/11,10000,0,0,10000,0,0,0,n/a,0,0,Deposit,5402686025
Closed position,40830801,XAUUSD,0.79,Buy,1280.93,1281.14,2013/07/18 12:52:59,2013/07/18 12:59:09,2013/07/18,2013/07/18,16.59,0,0,16.59,0,0,2.1,Win,0.1,0,,5402686025
Closed position,40830916,EURUSD,0.56,Buy,1.31127,1.31041,2013/07/18 12:56:42,2013/07/18 12:59:30,2013/07/18,2013/07/18,-48.16,0,0,-48.16,0,0,-8.6,Loss,0.05,0,to #40831035,5402686025
Closed position,40831035,EURUSD,0.01,Buy,1.31127,1.31051,2013/07/18 12:56:42,2013/07/18 12:59:49,2013/07/18,2013/07/18,-0.76,0,0,-0.76,0,0,-7.6,Loss,0.05,0,from #40830916,5402686025
Closed position,40831199,AUDCHFpro,0.31,Buy,0.86586,0.86592,2013/07/18 13:02:17,2013/07/18 13:04:56,2013/07/18,2013/07/18,1.97,0,0,1.97,0,0,0.6,Win,0.04,0,,5402686025
Closed position,40831293,EURUSD,0.41,Buy,1.31076,1.31047,2013/07/18 13:05:45,2013/07/18 13:07:29,2013/07/18,2013/07/18,-11.89,0,0,-11.89,0,0,-2.9,Loss,0.03,0,,5402686025
Closed position,40831129,EURUSD,0.31,Sell,1.31054,1.31058,2013/07/18 13:00:29,2013/07/18 13:07:50,2013/07/18,2013/07/18,-1.24,0,0,-1.24,0,0,-0.4,Loss,0.12,0,,5402686025
Closed position,40831412,AUDCHFpro,0.31,Buy,0.8662,0.8668,2013/07/18 13:08:27,2013/07/18 15:42:17,2013/07/18,2013/07/18,19.68,0,0,19.68,0.8668,0.864,6,Win,2.56,0,[tp],5402686025
Closed position,40843230,AUDCADpro,0.31,Sell,0.95145,0.95132,2013/07/18 18:33:05,2013/07/18 18:37:07,2013/07/18,2013/07/18,3.88,0,0,3.88,0.9495,0.959,1.3,Win,0.07,0,,5402686025
Closed position,40843452,AUDCADpro,0.31,Sell,0.95102,0.95189,2013/07/18 18:39:29,2013/07/18 21:17:46,2013/07/18,2013/07/18,-25.97,0,0,-25.97,0.9455,0.9595,-8.7,Loss,2.64,0,,5402686025
Closed position,42209103,XAUUSD,0.16,Buy,1371.83,1362.02,2013/08/21 20:58:16,2013/08/22 08:26:58,2013/08/21,2013/08/22,-156.96,-3.48,0,-160.44,0,0,-98.1,Loss,11.48,0,,5402686025
Closed position,42210993,GBPUSDpro,0.1,Buy,1.56915,1.55962,2013/08/21 21:04:00,2013/08/22 08:27:11,2013/08/21,2013/08/22,-95.3,0.01,0,-95.29,0,0,-95.3,Loss,11.39,0,,5402686025
Closed position,42209110,AUDCHFpro,0.16,Sell,0.83138,0.83107,2013/08/21 20:59:19,2013/08/22 08:27:19,2013/08/21,2013/08/22,5.36,-10.62,0,-5.26,0,0,3.1,Loss,11.47,0,,5402686025
Closed position,42231189,WTI,1,Sell,103.73,103.83,2013/08/22 08:28:33,2013/08/22 08:55:07,2013/08/22,2013/08/22,-10,0,0,-10,0,0,-10,Loss,0.44,0,,5402686025
