Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Deposit,67070076,,0,,0,0,10/12/2015 14:45,10/12/2015 14:45,10/12/2015,10/12/2015,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5602686445
Closed position,67991643,NZDUSD,20,Sell,0.66738,0.66717,10/29/2015 6:12,10/29/2015 6:29,10/29/2015,10/29/2015,420,0,0,420,0,0,2.1,Win,0.28,0,,jk_5602686445
Closed position,67991544,USDCNH,20,Buy,6.38085,6.38195,10/29/2015 6:09,10/29/2015 6:36,10/29/2015,10/29/2015,344.72,0,0,344.72,0,0,0.1,Win,0.44,0,,jk_5602686445
Closed position,67991527,AUDCAD,20,Buy,0.93824,0.93838,10/29/2015 6:08,10/29/2015 6:49,10/29/2015,10/29/2015,211.94,0,0,211.94,0,0,1.4,Win,0.68,0,,jk_5602686445
Closed position,67993721,GBPUSD,20,Buy,1.52572,1.52577,10/29/2015 7:42,10/29/2015 8:10,10/29/2015,10/29/2015,100,0,0,100,0,0,0.5,Win,0.47,0,,jk_5602686445
Closed position,67993704,AUDCAD,20,Buy,0.93871,0.93894,10/29/2015 7:41,10/29/2015 8:13,10/29/2015,10/29/2015,348.23,0,0,348.23,0,0,2.3,Win,0.53,0,,jk_5602686445
Closed position,67991523,EURUSD,20,Buy,1.09325,1.09329,10/29/2015 6:08,10/29/2015 8:41,10/29/2015,10/29/2015,80,0,0,80,0,0,0.4,Win,2.56,0,,jk_5602686445
Closed position,67995705,USDCNH,20,Sell,6.37215,6.37065,10/29/2015 8:55,10/29/2015 8:59,10/29/2015,10/29/2015,470.91,0,0,470.91,0,0,0.2,Win,0.05,0,,jk_5602686445
Closed position,67995720,GBPUSD,20,Sell,1.52588,1.52573,10/29/2015 8:56,10/29/2015 8:59,10/29/2015,10/29/2015,300,0,0,300,0,0,1.5,Win,0.05,0,,jk_5602686445
Closed position,67995902,GBPUSD,20,Sell,1.52556,1.52547,10/29/2015 9:00,10/29/2015 9:06,10/29/2015,10/29/2015,180,0,0,180,0,0,0.9,Win,0.11,0,,jk_5602686445
Closed position,67995779,USDCNH,20,Sell,6.37115,6.36975,10/29/2015 8:59,10/29/2015 9:06,10/29/2015,10/29/2015,439.58,0,0,439.58,0,0,0.1,Win,0.12,0,,jk_5602686445
Closed position,67992745,USDCAD,20,Buy,1.32133,1.32219,10/29/2015 6:58,10/29/2015 11:05,10/29/2015,10/29/2015,1300.87,0,0,1300.87,0,0,8.6,Win,4.12,0,,jk_5602686445
Closed position,67991881,USDSGD,20,Buy,1.40325,1.40373,10/29/2015 6:23,10/29/2015 11:05,10/29/2015,10/29/2015,683.89,0,0,683.89,0,0,4.8,Win,4.7,0,,jk_5602686445
Closed position,67991503,USDCHF,20,Sell,0.99345,0.99326,10/29/2015 6:06,10/29/2015 11:10,10/29/2015,10/29/2015,382.58,0,0,382.58,0,0,1.9,Win,5.05,0,,jk_5602686445
Closed position,67991856,AUDUSD,20,Sell,0.71001,0.70969,10/29/2015 6:20,10/29/2015 11:24,10/29/2015,10/29/2015,640,0,0,640,0,0,3.2,Win,5.06,0,,jk_5602686445
