sep=,
Type,Ticket,Symbol,Lots,Buy/sell,Open price,Close price,Open time,Close time,Open date,Close date,Profit,Swap,Commission,Net profit,T/P,S/L,Pips,Result,Trade duration (hours),Magic number,Order comment,Account
Open position,72714655,AUDCHF,0.01,Sell,0.70929,0.76417,2015/11/11 09:46:16,1970/01/01 00:00:00,2015/11/11,1970/01/01,-56.68,-55.17,0,-111.85,0,0,-548.8,Loss,0,0,from #68507654,jk_5707610670
Deposit,67070465,,0,,0,0,2015/10/12 14:48:48,2015/10/12 14:48:48,2015/10/12,2015/10/12,100000,0,0,100000,0,0,0,n/a,0,0,Initial Deposit,jk_5707610670
Closed position,68449392,AUDUSD,1.49,Buy,0.70471,0.70597,2015/11/10 04:03:44,2015/11/11 05:14:11,2015/11/10,2015/11/11,187.74,3.43,0,191.17,0,0,12.6,Win,25.17,0,,jk_5707610670
Closed position,68507689,EURCAD,1.66,Buy,1.42401,1.42529,2015/11/11 09:48:28,2015/11/11 10:04:40,2015/11/11,2015/11/11,160.29,0,0,160.29,0,0,12.8,Win,0.27,0,,jk_5707610670
Closed position,68507980,CHFJPY,1.06,Sell,122.5,122.44,2015/11/11 09:59:06,2015/11/11 10:05:33,2015/11/11,2015/11/11,51.71,0,0,51.71,0,0,6,Win,0.11,0,,jk_5707610670
Closed position,68507888,CHFJPY,1.06,Sell,122.472,122.443,2015/11/11 09:55:25,2015/11/11 10:05:46,2015/11/11,2015/11/11,24.99,0,0,24.99,0,0,2.9,Win,0.17,0,,jk_5707610670
Closed position,68508404,EURJPY,1.34,Buy,132.155,132.22,2015/11/11 10:06:51,2015/11/11 10:59:16,2015/11/11,2015/11/11,70.74,0,0,70.74,0,0,6.5,Win,0.87,0,,jk_5707610670
Closed position,68507657,AUDCHF,1.36,Buy,0.70958,0.71763,2015/11/11 09:46:55,2015/11/12 09:10:10,2015/11/11,2015/11/12,1090.48,14.22,0,1104.70,0,0,80.5,Win,23.39,0,,jk_5707610670
Closed position,68415864,AUDNZD,1.08,Buy,1.07816,1.09103,2015/11/09 13:01:28,2015/11/12 09:10:40,2015/11/09,2015/11/12,910.6,-12.37,0,898.23,0,0,128.7,Win,68.15,0,,jk_5707610670
Closed position,68507654,AUDCHF,1.15,Sell,0.70929,0.70108,2015/11/11 09:46:16,2016/02/05 21:54:05,2015/11/11,2016/02/05,951.87,-1023.38,0,-71.51,0,0,82.1,Loss,2076.13,0,,jk_5707610670
Closed position,68508254,EURAUD,1.24,Buy,1.5222,1.57627,2015/11/11 10:03:41,2016/02/05 21:54:11,2015/11/11,2016/02/05,4738,-1303.28,0,3434.72,0,0,540.7,Win,2075.84,0,,jk_5707610670
Closed position,68508441,USDCAD,1.04,Sell,1.32597,1.3894,2015/11/11 10:07:47,2016/02/05 21:54:15,2015/11/11,2016/02/05,-4747.89,-34.59,0,-4782.48,0,0,-634.3,Loss,2075.77,0,,jk_5707610670
Closed position,68508563,AUDCHF,1.04,Buy,0.70937,0.70091,2015/11/11 10:11:20,2016/02/05 21:54:17,2015/11/11,2016/02/05,-887.24,293.82,0,-593.42,0,0,-84.6,Loss,2075.72,0,,jk_5707610670
Closed position,68448749,CADJPY,1.19,Buy,92.857,84.076,2015/11/10 03:37:43,2016/02/05 23:03:59,2015/11/10,2016/02/05,-8934.85,30.42,0,-8904.43,0,0,-878.1,Loss,2107.44,0,,jk_5707610670
