,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2011.04.20,0:00,1.43367,1.45466,1.43343,1.45119,0,,,,,,,
2011.04.21,0:00,1.45119,1.46481,1.4505,1.45526,0,,,,,,,
2011.04.22,0:00,1.45524,1.45877,1.45334,1.45594,0,,,,,,,
2011.04.24,0:00,1.45584,1.45752,1.45523,1.45536,0,,,,,,,
2011.04.25,0:00,1.45536,1.46265,1.45252,1.45758,0,,,,,,,
2011.04.26,0:00,1.45788,1.47126,1.44931,1.46871,0,,,,,,,
2011.04.27,0:00,1.46876,1.47943,1.46313,1.47766,0,,,,,,,
2011.04.28,0:00,1.47768,1.4881,1.47724,1.48418,0,,,,,,,
2011.04.29,0:00,1.48416,1.48774,1.48033,1.48063,0,,,,,,,
2011.05.01,0:00,1.48114,1.48387,1.47855,1.48005,0,,,,,,,
2011.05.02,0:00,1.4802,1.49008,1.47614,1.48223,0,,,,,,,
2011.05.03,0:00,1.48226,1.48894,1.4754,1.48319,0,,,,,,,
2011.05.04,0:00,1.48322,1.49393,1.47748,1.48284,0,,,,,,,
2011.05.05,0:00,1.48283,1.48988,1.451,1.45424,0,,,,,,,
2011.05.06,0:00,1.45408,1.45871,1.43071,1.43167,0,,,,,,,
2011.05.08,0:00,1.43306,1.43851,1.43306,1.43468,0,,,,,,,
2011.05.09,0:00,1.43468,1.44413,1.4254,1.43733,0,,,,,,,
2011.05.10,0:00,1.43734,1.44184,1.42693,1.44055,0,,,,,,,
2011.05.11,0:00,1.44074,1.44226,1.41719,1.42104,0,,,,,,,
2011.05.12,0:00,1.42101,1.4276,1.41229,1.42359,0,,,,,,,
2011.05.13,0:00,1.4235,1.43384,1.40662,1.41149,0,,,,,,,
2011.05.15,0:00,1.4106,1.4106,1.40711,1.40748,0,,,,,,,
2011.05.16,0:00,1.40747,1.4244,1.40478,1.41571,0,,,,,,,
2011.05.17,0:00,1.41568,1.4271,1.41206,1.42676,0,,,,,,,
2011.05.18,0:00,1.42669,1.42861,1.41946,1.42539,0,,,,,,,
2011.05.19,0:00,1.42544,1.43245,1.4206,1.4314,0,,,,,,,
2011.05.20,0:00,1.43148,1.43451,1.41326,1.41576,0,,,,,,,
2011.05.22,0:00,1.41397,1.4144,1.41015,1.41042,0,,,,,,,
2011.05.23,0:00,1.41059,1.41347,1.3969,1.40334,0,,,,,,,
2011.05.24,0:00,1.40342,1.41327,1.40008,1.40975,0,,,,,,,
2011.05.25,0:00,1.40978,1.4118,1.40133,1.40822,0,,,,,,,
2011.05.26,0:00,1.40832,1.42059,1.40676,1.41311,0,,,,,,,
2011.05.27,0:00,1.41299,1.43227,1.41253,1.4316,0,,,,,,,
2011.05.29,0:00,1.43267,1.4329,1.42862,1.42942,0,,,,,,,
2011.05.30,0:00,1.42904,1.43233,1.42563,1.43173,0,,,,,,,
2011.05.31,0:00,1.43197,1.44349,1.43197,1.44261,0,,,,,,,
2011.06.01,0:00,1.44273,1.44583,1.43064,1.43424,0,,,,,,,
2011.06.02,0:00,1.43432,1.45132,1.43252,1.44814,0,,,,,,,
2011.06.03,0:00,1.44826,1.46422,1.44506,1.46329,0,,,,,,,
2011.06.05,0:00,1.4609,1.4656,1.46025,1.46541,0,,,,,,,
2011.06.06,0:00,1.46541,1.46574,1.45564,1.45788,0,,,,,,,
2011.06.07,0:00,1.45798,1.46954,1.45629,1.46857,0,,,,,,,
2011.06.08,0:00,1.4685,1.46904,1.45634,1.46006,0,,,,,,,
2011.06.09,0:00,1.45986,1.46498,1.44773,1.45087,0,,,,,,,
2011.06.10,0:00,1.45097,1.45499,1.43221,1.43443,0,,,,,,,
2011.06.12,0:00,1.43169,1.43373,1.43169,1.43302,0,,,,,,,
2011.06.13,0:00,1.43305,1.44297,1.43217,1.44151,0,,,,,,,
