studentID,RG,RL,UG,UL,PGR,PLR
5602686445 - Copy (2) - Copy,51,28,14,4,0.7846,0.8750
5602686445 - Copy (2),51,28,14,4,0.7846,0.8750
5602686445 - Copy (3) - Copy,51,28,14,4,0.7846,0.8750
5602686445 - Copy (3),51,28,14,4,0.7846,0.8750
5602686445 - Copy (4) - Copy,51,28,14,4,0.7846,0.8750
5602686445 - Copy (4),51,28,14,4,0.7846,0.8750
5602686445 - Copy (5),51,28,14,4,0.7846,0.8750
5602686445 - Copy - Copy,51,28,14,4,0.7846,0.8750
5602686445 - Copy,51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (2) - Copy,51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (2),51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (3) - Copy,51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (3),51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (4) - Copy,51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (4),51,28,14,4,0.7846,0.8750
5602686445-1 - Copy (5),51,28,14,4,0.7846,0.8750
5602686445-1 - Copy - Copy,51,28,14,4,0.7846,0.8750
5602686445-1 - Copy,51,28,14,4,0.7846,0.8750
5602686445-1,51,28,14,4,0.7846,0.8750
5602686445-2 - Copy (2) - Copy,21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (2),21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (3) - Copy,21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (3),21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (4) - Copy,21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (4),21,10,13,4,0.6176,0.7143
5602686445-2 - Copy (5),21,10,13,4,0.6176,0.7143
5602686445-2 - Copy - Copy,21,10,13,4,0.6176,0.7143
5602686445-2 - Copy,21,10,13,4,0.6176,0.7143
5602686445-2,21,10,13,4,0.6176,0.7143
5602686445-3 - Copy (2) - Copy,51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (2),51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (3) - Copy,51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (3),51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (4) - Copy,51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (4),51,28,14,4,0.7846,0.8750
5602686445-3 - Copy (5),51,28,14,4,0.7846,0.8750
5602686445-3 - Copy - Copy,51,28,14,4,0.7846,0.8750
5602686445-3 - Copy,51,28,14,4,0.7846,0.8750
5602686445-3,51,28,14,4,0.7846,0.8750
5602686445,51,28,14,4,0.7846,0.8750
