studentID,RG,RL,UG,UL,PGR,PLR
5402615404,11,0,10,0,0.5238,0.0000
5402685944,10,10,0,0,1.0000,1.0000
5502525115,18,4,10,12,0.6429,0.2500
5502610511,55,15,6,44,0.9016,0.2542
5502615155,34,14,0,62,1.0000,0.1842
5502615171,6,1,1,0,0.8571,1.0000
5502615247,66,34,46,120,0.5893,0.2208
5502615734,39,19,14,0,0.7358,1.0000
5502616005,42,1,28,16,0.6000,0.0588
5502680035,22,5,0,2,1.0000,0.7143
5502680522,17,41,0,47,1.0000,0.4659
5502685158,1,0,0,0,1.0000,0.0000
5502685224,4,1,0,0,1.0000,1.0000
5502685281,0,2,0,0,0.0000,1.0000
5502685299,108,41,59,66,0.6467,0.3832
5502685364,56,16,16,156,0.7778,0.0930
5502685422,0,0,0,0,0.0000,0.0000
5502685927,146,5,82,268,0.6404,0.0183
5502685943,50,36,1,0,0.9804,1.0000
5502686230,0,0,0,0,0.0000,0.0000
5504610527,10,7,0,0,1.0000,1.0000
5504611046,2,3,1,0,0.6667,1.0000
5504611103,0,0,0,0,0.0000,0.0000
5504611533,0,0,0,0,0.0000,0.0000
5504680157,17,11,4,12,0.8095,0.4783
5504680173,14,15,2,0,0.8750,1.0000
5602525098,39,12,8,13,0.8298,0.4800
5602525114,6,0,1,1,0.8571,0.0000
5602525148,18,9,15,16,0.5455,0.3600
5602610726,55,2,6,17,0.9016,0.1053
5602610791,8,11,0,0,1.0000,1.0000
5602615014,73,10,5,54,0.9359,0.1563
5602615089,114,4,188,805,0.3775,0.0049
5602615097,43,20,29,158,0.5972,0.1124
5602615121,15,6,0,0,1.0000,1.0000
5602615147,23,36,5,16,0.8214,0.6923
5602615162,20,13,4,0,0.8333,1.0000
5602615196,0,0,0,0,0.0000,0.0000
5602615212,10,4,0,5,1.0000,0.4444
5602615220,0,0,0,0,0.0000,0.0000
5602615238,91,20,44,187,0.6741,0.0966
5602615436,19,2,4,5,0.8261,0.2857
5602615626,12,12,5,2,0.7059,0.8571
5602615634,38,14,21,33,0.6441,0.2979
5602615667,19,0,3,4,0.8636,0.0000
5602615683,72,23,23,243,0.7579,0.0865
5602615733,22,2,5,0,0.8148,1.0000
5602615774,337,11,0,3,1.0000,0.7857
5602615840,15,5,0,1,1.0000,0.8333
5602615857,34,16,4,19,0.8947,0.4571
5602615881,8,4,0,0,1.0000,1.0000
5602615915,210,21,314,552,0.4008,0.0366
5602616038,40,17,5,37,0.8889,0.3148
5602616046,85,11,15,75,0.8500,0.1279
5602616053,39,10,9,39,0.8125,0.2041
5602616079,59,2,43,114,0.5784,0.0172
5602616095,79,5,6,71,0.9294,0.0658
5602616152,59,10,14,73,0.8082,0.1205
5602616178,146,25,16,137,0.9012,0.1543
5602616210,4,3,0,0,1.0000,1.0000
5602640319,0,0,0,0,0.0000,0.0000
5602680489,45,16,29,60,0.6081,0.2105
5602680521,2,3,0,7,1.0000,0.3000
5602685017,239,89,91,254,0.7242,0.2595
5602685025,26,7,8,6,0.7647,0.5385
5602685033,52,2,23,214,0.6933,0.0093
5602685132,58,75,9,49,0.8657,0.6048
5602685215,37,12,7,3,0.8409,0.8000
5602685348,110,22,33,68,0.7692,0.2444
5602685371,181,26,115,88,0.6115,0.2281
5602685405,128,15,56,212,0.6957,0.0661
5602685512,117,7,142,685,0.4517,0.0101
5602685561,52,23,0,0,1.0000,1.0000
5602685579,7,15,0,0,1.0000,1.0000
5602685637,5,0,0,0,1.0000,0.0000
5602685769,47,14,48,35,0.4947,0.2857
5602685785,87,61,14,11,0.8614,0.8472
5602685819,49,5,10,101,0.8305,0.0472
5602685892,106,78,23,133,0.8217,0.3697
5602685918,35,6,3,10,0.9211,0.3750
5602685959,129,20,107,238,0.5466,0.0775
5602685975,13,84,19,48,0.4063,0.6364
5602685983,16,27,1,56,0.9412,0.3253
5602686007,34,8,8,9,0.8095,0.4706
5602686106,21,17,0,0,1.0000,1.0000
5602686148,44,18,18,30,0.7097,0.3750
5602686163,61,7,15,255,0.8026,0.0267
5602686189,2,2,0,0,1.0000,1.0000
5602686288,80,13,8,253,0.9091,0.0489
5602686320,64,40,12,49,0.8421,0.4494
5602686353,42,29,163,154,0.2049,0.1585
5602686379,29,24,2,2,0.9355,0.9231
5602686387,79,0,33,207,0.7054,0.0000
5602686445,51,28,14,4,0.7846,0.8750
5602686452,63,34,3,45,0.9545,0.4304
5602686494,8,9,0,8,1.0000,0.5294
5602686502,36,6,3,5,0.9231,0.5455
5602686510,16,11,2,2,0.8889,0.8462
5702615054,0,0,0,0,0.0000,0.0000
5707610670,7,0,0,9,1.0000,0.0000
