studentID,RG,RL,UG,UL,PGR,PLR
5402610041,371,22,553,5176,0.4015,0.0042
5402615180,11,3,0,25,1.0000,0.1071
5402615602,3,2,0,0,1.0000,1.0000
5402615859,14,2,1,4,0.9333,0.3333
5402680580,13,7,1,3,0.9286,0.7000
5402680887,12,1,3,25,0.8000,0.0385
5402685183,38,34,17,92,0.6909,0.2698
5402685886,11,1,2,10,0.8462,0.0909
5402686348,3,1,0,1,1.0000,0.5000
5402686397,45,13,38,191,0.5422,0.0637
5402686736,16,0,0,7,1.0000,0.0000
5404520172,25,11,7,15,0.7813,0.4231
5404610320,10,10,3,2,0.7692,0.8333
5404610429,19,1,1,0,0.9500,1.0000
5404610551,12,6,13,0,0.4800,1.0000
5404610767,12,6,0,9,1.0000,0.4000
5404611195,21,6,14,18,0.6000,0.2500
5404680034,47,2,15,33,0.7581,0.0571
5404680505,7,7,0,2,1.0000,0.7778
5404680521,18,10,2,3,0.9000,0.7692
5404680786,13,4,2,20,0.8667,0.1667
5404680836,2,0,0,0,1.0000,0.0000
5404680877,16,1,0,0,1.0000,1.0000
5404681081,13,8,8,29,0.6190,0.2162
5404681214,7,7,0,7,1.0000,0.5000
5404681230,14,5,0,5,1.0000,0.5000
5404681537,38,20,0,10,1.0000,0.6667
5404681693,17,15,0,2,1.0000,0.8824
5404681735,33,2,3,10,0.9167,0.1667
5404681826,13,5,1,5,0.9286,0.5000
5404681909,11,5,2,1,0.8462,0.8333
5502610222,18,0,7,3,0.7200,0.0000
5502615049,23,8,23,35,0.5000,0.1860
5502615080,39,8,24,168,0.6190,0.0455
5502615130,16,4,0,5,1.0000,0.4444
5502615148,13,20,0,2,1.0000,0.9091
5502615163,16,13,2,19,0.8889,0.4063
5502615205,59,16,0,34,1.0000,0.3200
5502615213,34,3,30,19,0.5313,0.1364
5502615288,27,7,15,90,0.6429,0.0722
5502615338,29,8,18,58,0.6170,0.1212
5502615346,18,9,17,13,0.5143,0.4091
5502615379,20,5,11,24,0.6452,0.1724
5502615387,27,13,5,19,0.8438,0.4063
5502615429,15,7,0,9,1.0000,0.4375
5502615445,63,25,8,68,0.8873,0.2688
5502615460,48,10,1,16,0.9796,0.3846
5502615494,17,2,2,23,0.8947,0.0800
5502615551,16,8,4,8,0.8000,0.5000
5502615593,54,40,2,18,0.9643,0.6897
5502615627,29,19,7,2,0.8056,0.9048
5502615759,17,3,0,1,1.0000,0.7500
5502615767,49,22,17,106,0.7424,0.1719
5502615817,26,14,7,11,0.7879,0.5600
5502615825,10,18,8,25,0.5556,0.4186
5502615882,17,1,2,21,0.8947,0.0455
5502615924,7,0,0,0,1.0000,0.0000
5502615965,15,4,3,11,0.8333,0.2667
5502685034,16,4,2,0,0.8889,1.0000
5502685059,9,7,2,2,0.8182,0.7778
5502685158,3,5,0,0,1.0000,1.0000
5502685257,1,7,0,2,1.0000,0.7778
5502685406,29,22,0,13,1.0000,0.6286
5502685463,6,4,2,5,0.7500,0.4444
5502685489,21,2,0,21,1.0000,0.0870
5502685497,15,8,0,0,1.0000,1.0000
5502685513,17,0,0,14,1.0000,0.0000
5502685554,1993,1051,491,1980,0.8023,0.3468
5502685562,25,29,235,76,0.0962,0.2762
5502685604,4,3,0,5,1.0000,0.3750
5502685638,39,42,4,54,0.9070,0.4375
5502685646,0,4,0,0,0.0000,1.0000
5502685653,1,1,0,0,1.0000,1.0000
5502685687,20,15,5,1,0.8000,0.9375
5502685703,17,60,4,10,0.8095,0.8571
5502685786,14,10,0,4,1.0000,0.7143
5502685794,8,7,1,1,0.8889,0.8750
5502685828,8,3,0,4,1.0000,0.4286
5502685836,25,13,24,39,0.5102,0.2500
5502685877,10,8,2,5,0.8333,0.6154
5502686164,28,22,4,11,0.8750,0.6667
5502686198,18,4,5,10,0.7826,0.2857
5502686230,18,1,0,0,1.0000,1.0000
5502686297,0,0,0,0,0.0000,0.0000
5502686305,25,6,2,13,0.9259,0.3158
5502686438,20,1,0,9,1.0000,0.1000
5502686495,13,3,6,14,0.6842,0.1765
