studentID,RG,RL,UG,UL,PGR,PLR
5202685441,13,3,0,0,1.0000,1.0000
5202686332,7,10,0,12,1.0000,0.4545
5302455018,1,1,0,0,1.0000,1.0000
5302525182,9,10,0,1,1.0000,0.9091
5302610141,26,15,18,85,0.5909,0.1500
5302615074,32,11,12,4,0.7273,0.7333
5302615173,11,9,0,0,1.0000,1.0000
5302615462,0,0,0,0,0.0000,0.0000
5302615520,4,9,0,0,1.0000,1.0000
5302615561,24,6,3,16,0.8889,0.2727
5302640106,2,1,0,0,1.0000,1.0000
5302640585,1,3,0,3,1.0000,0.5000
5302680201,0,0,0,0,0.0000,0.0000
5302680219,51,15,6,38,0.8947,0.2830
5302680540,45,7,24,26,0.6522,0.2121
5302680920,12,5,11,0,0.5217,1.0000
5302685051,25,15,0,0,1.0000,1.0000
5302685374,2,3,0,0,1.0000,1.0000
5302685549,4,0,0,2,1.0000,0.0000
5302685739,6,12,0,2,1.0000,0.8571
5302685762,1,0,0,0,1.0000,0.0000
5302685788,12,3,0,4,1.0000,0.4286
5302685861,0,0,0,0,0.0000,0.0000
5302685952,4,1,0,0,1.0000,1.0000
5302686158,3,3,0,1,1.0000,0.7500
5302686380,1,3,0,0,1.0000,1.0000
5302686463,0,0,0,0,0.0000,0.0000
5302686620,0,0,0,0,0.0000,0.0000
5302686745,11,3,0,27,1.0000,0.1000
5302686885,20,2,15,0,0.5714,1.0000
5302686984,4,2,5,3,0.4444,0.4000
5302687073,3,1,0,0,1.0000,1.0000
5304610032,7,7,0,4,1.0000,0.6364
5304610347,7,0,0,0,1.0000,0.0000
5304610867,15,7,10,18,0.6000,0.2800
5304611147,0,3,0,2,0.0000,0.6000
5304680027,35,36,37,46,0.4861,0.4390
5304680191,9,6,2,6,0.8182,0.5000
5304680324,11,4,0,0,1.0000,1.0000
5304680787,40,15,3,50,0.9302,0.2308
5304680969,6,1,0,2,1.0000,0.3333
5304681264,16,3,0,0,1.0000,1.0000
5304681488,21,3,17,73,0.5526,0.0395
5304681694,20,9,2,16,0.9091,0.3600
5304681728,38,32,0,21,1.0000,0.6038
5304681801,10,8,1,0,0.9091,1.0000
5304681983,51,14,32,144,0.6145,0.0886
5309611480,1,0,0,0,1.0000,0.0000
5402455033,25,2,0,0,1.0000,1.0000
5402460330,1,0,0,0,1.0000,0.0000
5402525116,22,24,2,1,0.9167,0.9600
5402525157,33,30,0,0,1.0000,1.0000
5402525165,0,0,0,0,0.0000,0.0000
5402610231,39,15,0,16,1.0000,0.4839
5402610462,115,50,370,526,0.2371,0.0868
5402610645,31,20,8,7,0.7949,0.7407
5402615057,8,6,0,2,1.0000,0.7500
5402615099,0,0,0,0,0.0000,0.0000
5402615321,29,12,13,28,0.6905,0.3000
5402615370,3,0,0,0,1.0000,0.0000
5402615453,12,0,1,1,0.9231,0.0000
5402615537,12,2,2,2,0.8571,0.5000
5402615578,12,1,0,7,1.0000,0.1250
5402615651,24,1,28,5,0.4615,0.1667
5402615669,25,27,0,39,1.0000,0.4091
5402615800,9,1,0,6,1.0000,0.1429
5402615826,34,12,14,109,0.7083,0.0992
5402615933,1,4,0,0,1.0000,1.0000
5402640113,12,10,1,0,0.9231,1.0000
5402640220,23,10,2,5,0.9200,0.6667
5402640824,12,12,1,7,0.9231,0.6316
5402641301,0,0,0,0,0.0000,0.0000
5402641525,5,0,0,0,1.0000,0.0000
5402680192,5,3,0,2,1.0000,0.6000
5402680382,33,16,9,114,0.7857,0.1231
5402680713,24,2,8,8,0.7500,0.2000
5402680895,2,8,0,0,1.0000,1.0000
5402681018,0,0,0,0,0.0000,0.0000
5402681067,2,5,0,0,1.0000,1.0000
5402681307,1,3,1,2,0.5000,0.6000
5402685068,11,2,0,0,1.0000,1.0000
5402685076,43,5,38,66,0.5309,0.0704
5402685084,50,18,5,21,0.9091,0.4615
5402685092,5,0,0,0,1.0000,0.0000
5402685175,24,7,1,7,0.9600,0.5000
5402685241,11,12,0,1,1.0000,0.9231
5402685258,3,3,0,0,1.0000,1.0000
5402685332,12,9,6,24,0.6667,0.2727
5402685340,611,325,514,2690,0.5431,0.1078
5402685399,41,4,0,0,1.0000,1.0000
5402685472,2,6,0,6,1.0000,0.5000
5402685522,27,13,3,2,0.9000,0.8667
5402685555,2,1,0,0,1.0000,1.0000
5402685589,9,2,0,3,1.0000,0.4000
5402685613,17,0,2,4,0.8947,0.0000
5402685639,5,4,0,0,1.0000,1.0000
5402685696,54,12,1,1,0.9818,0.9231
5402685878,21,28,0,3,1.0000,0.9032
5402685886,15,14,5,0,0.7500,1.0000
5402686025,0,4,0,0,0.0000,1.0000
5402686033,6,0,1,0,0.8571,0.0000
5402686058,13,14,0,0,1.0000,1.0000
5402686207,12,9,0,0,1.0000,1.0000
5402686215,29,1,4,15,0.8788,0.0625
5402686223,27,0,4,2,0.8710,0.0000
5402686249,13,1,2,0,0.8667,1.0000
5402686272,15,8,13,12,0.5357,0.4000
5402686280,5,0,0,4,1.0000,0.0000
5402686306,10,6,3,2,0.7692,0.7500
5402686355,4,1,1,0,0.8000,1.0000
5402686389,3,15,0,0,1.0000,1.0000
5402686397,34,3,73,28,0.3178,0.0968
5402686462,1,0,0,0,1.0000,0.0000
5402686488,4,1,0,1,1.0000,0.5000
5402686538,3,3,0,4,1.0000,0.4286
5402686579,69,13,0,61,1.0000,0.1757
5402686645,3,0,0,0,1.0000,0.0000
5402686660,1,5,0,0,1.0000,1.0000
5402686678,46,5,56,4,0.4510,0.5556
5402686702,9,0,0,0,1.0000,0.0000
5402686728,2,4,0,0,1.0000,1.0000
5404610155,5,1,0,0,1.0000,1.0000
5404610197,6,2,1,0,0.8571,1.0000
5404611013,1,0,0,0,1.0000,0.0000
5404680505,5,7,0,0,1.0000,1.0000
5404680521,8,12,0,0,1.0000,1.0000
5404681024,20,14,2,0,0.9091,1.0000
5404681503,6,7,0,8,1.0000,0.4667
5502460040,32,4,3,5,0.9143,0.4444
5502610628,48,31,0,205,1.0000,0.1314
5502615197,197,114,402,686,0.3289,0.1425
5502615601,966,508,1215,5594,0.4429,0.0833
5502640203,19,0,30,2,0.3878,0.0000
