studentID,RG,RL,UG,UL,PGR,PLR
5402615404,11,0,10,0,0.5238,0.0000
5402685944,10,10,0,0,1.0000,1.0000
5502525115,18,4,10,12,0.6429,0.2500
5502610511,55,15,6,44,0.9016,0.2542
5502615247,66,34,46,120,0.5893,0.2208
5502616005,42,1,28,16,0.6000,0.0588
5502680035,22,5,0,2,1.0000,0.7143
5502685158,1,0,0,0,1.0000,0.0000
5502685281,0,2,0,0,0.0000,1.0000
5502685364,56,16,16,156,0.7778,0.0930
5502685422,0,0,0,0,0.0000,0.0000
5502685927,146,5,82,268,0.6404,0.0183
5502685943,50,36,1,0,0.9804,1.0000
5502686230,0,0,0,0,0.0000,0.0000
5504680157,17,11,4,12,0.8095,0.4783
5504680173,14,15,2,0,0.8750,1.0000
5602610726,55,2,6,17,0.9016,0.1053
5602615196,0,0,0,0,0.0000,0.0000
5602615220,0,0,0,0,0.0000,0.0000
5602615634,38,14,21,33,0.6441,0.2979
5602615667,19,0,3,4,0.8636,0.0000
5602616046,85,11,15,75,0.8500,0.1279
5602616053,39,10,9,39,0.8125,0.2041
5602616079,59,2,43,114,0.5784,0.0172
5602640319,0,0,0,0,0.0000,0.0000
5602685033,52,2,23,214,0.6933,0.0093
5602685348,110,22,33,68,0.7692,0.2444
5602685371,181,26,115,88,0.6115,0.2281
5602685769,47,14,48,35,0.4947,0.2857
5602685918,35,6,3,10,0.9211,0.3750
5602685975,13,84,19,48,0.4063,0.6364
5602686387,79,0,33,207,0.7054,0.0000
5602686494,8,9,0,8,1.0000,0.5294
5602686502,36,6,3,5,0.9231,0.5455
5702615054,0,0,0,0,0.0000,0.0000
5707610670,7,0,0,9,1.0000,0.0000
